Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,WeightKg,BMI,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,avg_intensity,most_intense_day,METs,NaN,Cluster
1503960366,11935.78,7.73279999048,7.73279999048,0.0,2.83000000592,0.73379999422,4.16260001418,0.0,37.62,17.9,223.08,833.6,1808.74,52.833332059020165,22.7566661844515,358.18,384.18,0.9323233900775678,0.27866738225344784,0,16.883709787816564,0,3
1624580081,5167.2,3.4710000015399998,3.4710000015399998,0.0,0.6020000023000001,0.23400000066,2.62679998404,0.0057999999800000005,5.66,3.82,141.16,1265.56,1433.78,81.6845932006836,30.360925674438477,337.6111145019531,349.4458312988281,0.9661329003328285,0.1139885752688172,0,12.13355689693718,1,2
1644430081,7780.925,5.6587500157249995,5.6587500157249995,0.0,0.83099999445,1.2207500043250001,3.6017500207749995,0.00499999995,10.875,26.9,190.775,1129.95,2837.575,81.93793487548828,27.24626922607422,326.125,413.25,0.7891712038717483,0.20885416666666667,1,14.571744791666667,0,3
1844505072,2876.0232558139537,1.9016279156976743,1.9016279156976743,0.0,0.020232558418604652,0.0439534873255814,1.8362790520465115,0.0,0.3023255813953488,1.1395348837209303,127.46511627906976,1158.8139534883721,1585.3255813953488,86.79292297363281,31.843481063842773,484.85714285714283,686.4285714285714,0.7063475546305931,0.0664365100011562,0,11.530116959064328,0,2
1927972279,1269.0697674418604,0.8790697649069767,0.8790697649069767,0.0,0.06906976688372093,0.03976744237209302,0.7699999947209302,0.0,0.9534883720930233,1.0232558139534884,58.97674418604651,1215.6976744186047,2195.4651162790697,131.55000305175798,46.85499954447265,363.1666666666667,380.6111111111111,0.9541672748503869,0.0913952892985151,0,11.873239436619718,0,2
2022484408,11595.093023255815,8.276744171581395,8.276744171581395,0.0,2.6069767368139534,0.7658139546511628,4.904418590325581,0.0,37.348837209302324,20.232558139534884,256.4418604651163,1097.6046511627908,2500.3023255813955,76.25627899169922,26.735877990722656,135.0,144.0,0.9375,0.29651817716333845,0,17.233031319910516,0,1
2026352035,4960.139534883721,3.077674417395349,3.077674417395349,0.0,0.004418604604651163,0.008139534744186046,3.0641860470697675,0.0,0.06976744186046512,0.18604651162790697,232.27906976744185,680.9767441860465,1488.9767441860465,82.70195770263672,29.912473678588867,499.37704918032784,533.7377049180328,0.9356225812396338,0.16474739089184062,0,13.585503355704699,0,3
2320127002,4276.372093023256,2.8904650862325583,2.8904650862325583,0.0,0.09906976672093024,0.08302325476744186,2.7062790462558137,0.0,1.2325581395348837,2.1627906976744184,178.02325581395348,1228.2325581395348,1670.5581395348838,85.18529510498047,31.616308212280273,61.0,69.0,0.8840579710144928,0.09727214541730671,0,12.129619686800895,0,2
2347167796,9647.121212121212,6.426363642454546,6.426363642454546,0.0,0.9693939273030303,1.1593939334545453,4.296969703545455,0.0,12.727272727272727,21.727272727272727,252.96969696969697,685.6666666666666,2033.3939393939395,63.4000015258789,24.7700004577637,411.8478260869565,453.3478260869565,0.9084588088616092,0.2432525967376198,0,15.767081545064377,0,3
2873212765,7299.2558139534885,4.92511626455814,4.92511626455814,0.0,0.5795348824186046,0.27186046509302325,4.069069783325581,0.004186046511627906,11.581395348837209,6.093023255813954,298.86046511627904,1108.2790697674418,1855.2325581395348,56.975000381469755,21.56000041786745,292.86279296875,339.96826171875,0.8614415695398956,0.24765344982078852,0,15.236856368563686,1,1
