Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Day_of_Week
1503960366,2016-03-25,11004,7.110000134,7.110000134,0.0,2.569999933,0.460000008,4.070000172,0.0,33,12,205,804,1819,Friday
1503960366,2016-03-26,17609,11.55000019,11.55000019,0.0,6.920000076,0.730000019,3.910000086,0.0,89,17,274,588,2154,Saturday
1503960366,2016-03-27,12736,8.529999733,8.529999733,0.0,4.659999847,0.159999996,3.710000038,0.0,56,5,268,605,1944,Sunday
1503960366,2016-03-28,13231,8.930000305,8.930000305,0.0,3.190000057,0.790000021,4.949999809,0.0,39,20,224,1080,1932,Monday
1503960366,2016-03-29,12041,7.849999905,7.849999905,0.0,2.160000086,1.090000033,4.610000134,0.0,28,28,243,763,1886,Tuesday
1503960366,2016-03-30,10970,7.159999847,7.159999847,0.0,2.359999895,0.50999999,4.289999962,0.0,30,13,223,1174,1820,Wednesday
1503960366,2016-03-31,12256,7.860000134,7.860000134,0.0,2.289999962,0.49000001,5.039999962,0.0,33,12,239,820,1889,Thursday
1503960366,2016-04-01,12262,7.869999886,7.869999886,0.0,3.319999933,0.829999983,3.640000105,0.0,47,21,200,866,1868,Friday
1503960366,2016-04-02,11248,7.25,7.25,0.0,3.0,0.449999988,3.74000001,0.0,40,11,244,636,1843,Saturday
1503960366,2016-04-03,10016,6.369999886,6.369999886,0.0,0.910000026,1.279999971,4.179999828,0.0,15,30,314,655,1850,Sunday
1503960366,2016-04-04,14557,9.800000191,9.800000191,0.0,3.390000105,0.699999988,5.690000057,0.0,43,18,285,757,2030,Monday
1503960366,2016-04-05,14844,9.729999542,9.729999542,0.0,2.940000057,0.75999999,6.039999962,0.0,36,18,341,736,2083,Tuesday
1503960366,2016-04-06,11974,7.670000076,7.670000076,0.0,2.039999962,0.479999989,5.150000095,0.0,27,12,228,1173,1861,Wednesday
1503960366,2016-04-07,10198,6.440000057,6.440000057,0.0,1.200000048,0.790000021,4.449999809,0.0,17,20,195,1208,1755,Thursday
1503960366,2016-04-08,12521,7.940000057,7.940000057,0.0,3.309999943,0.899999976,3.74000001,0.0,46,22,212,1160,1895,Friday
1503960366,2016-04-09,12432,8.100000381,8.100000381,0.0,2.589999914,0.589999974,4.920000076,0.0,32,15,248,738,1883,Saturday
1503960366,2016-04-10,10057,6.980000019,6.980000019,0.0,4.0,0.49000001,2.480000019,0.0,44,13,168,737,1755,Sunday
1503960366,2016-04-11,10990,7.260000229,7.260000229,0.0,2.039999962,0.569999993,4.650000095,0.0,26,14,216,855,1811,Monday
1503960366,2016-04-12,224,0.140000001,0.140000001,0.0,0.0,0.0,0.129999995,0.0,0,0,9,32,50,Tuesday
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985,Tuesday
1503960366,2016-04-13,10735,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797,Wednesday
1503960366,2016-04-14,10460,6.739999771,6.739999771,0.0,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218,1776,Thursday
1503960366,2016-04-15,9762,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745,Friday
1503960366,2016-04-16,12669,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863,Saturday
1503960366,2016-04-17,9705,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728,Sunday
1503960366,2016-04-18,13019,8.590000153,8.590000153,0.0,3.25,0.639999986,4.710000038,0.0,42,16,233,1149,1921,Monday
1503960366,2016-04-19,15506,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035,Tuesday
1503960366,2016-04-20,10544,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786,Wednesday
