Id,date,TotalMinutesAsleep,TotalTimeInBed,SleepQuality
1503960366,2016-03-13,411,426,0.9647887323943662
1503960366,2016-03-14,354,386,0.917098445595855
1503960366,2016-03-15,312,335,0.9313432835820895
1503960366,2016-03-16,333,366,0.9098360655737705
1503960366,2016-03-17,402,437,0.919908466819222
1503960366,2016-03-18,379,411,0.9221411192214112
1503960366,2016-03-19,447,468,0.9551282051282052
1503960366,2016-03-20,469,476,0.9852941176470589
1503960366,2016-03-21,390,427,0.9133489461358314
1503960366,2016-03-23,281,297,0.9461279461279462
1503960366,2016-03-24,303,344,0.8808139534883721
1503960366,2016-03-25,351,386,0.9093264248704663
1503960366,2016-03-26,437,472,0.9258474576271186
1503960366,2016-03-27,483,506,0.9545454545454546
1503960366,2016-03-28,73,77,0.948051948051948
1503960366,2016-03-29,349,378,0.9232804232804233
1503960366,2016-03-31,308,336,0.9166666666666666
1503960366,2016-04-01,283,306,0.9248366013071896
1503960366,2016-04-02,439,509,0.862475442043222
1503960366,2016-04-03,379,426,0.8896713615023474
1503960366,2016-04-04,294,337,0.8724035608308606
1503960366,2016-04-05,280,309,0.9061488673139159
1503960366,2016-04-09,380,407,0.9336609336609336
1503960366,2016-04-10,455,478,0.9518828451882845
1503960366,2016-04-11,310,329,0.9422492401215805
1644430081,2016-03-27,373,495,0.7535353535353535
1644430081,2016-03-28,466,466,1.0
1644430081,2016-03-29,56,121,0.4628099173553719
1644430081,2016-03-30,538,840,0.6404761904761904
1844505072,2016-04-03,169,190,0.8894736842105263
1844505072,2016-04-04,771,771,1.0
1844505072,2016-04-09,221,636,0.3474842767295597
1844505072,2016-04-10,277,325,0.8523076923076923
1927972279,2016-03-11,29,36,0.8055555555555556
1927972279,2016-03-12,608,628,0.9681528662420382
1927972279,2016-03-13,505,516,0.9786821705426356
1927972279,2016-03-14,173,179,0.9664804469273743
1927972279,2016-03-15,68,68,1.0
1927972279,2016-03-16,599,645,0.9286821705426357
1927972279,2016-03-17,6,6,1.0
1927972279,2016-03-18,523,553,0.945750452079566
1927972279,2016-03-19,583,611,0.9541734860883797
1927972279,2016-03-20,548,576,0.9513888888888888
1927972279,2016-03-21,334,352,0.9488636363636364
1927972279,2016-03-22,379,394,0.9619289340101523
1927972279,2016-03-23,447,474,0.9430379746835443
1927972279,2016-03-24,428,437,0.9794050343249427
1927972279,2016-03-25,60,63,0.9523809523809523
1927972279,2016-03-26,387,406,0.9532019704433498
1927972279,2016-03-27,112,120,0.9333333333333333
1927972279,2016-03-28,219,230,0.9521739130434783
1927972279,2016-03-29,563,588,0.9574829931972789
1927972279,2016-03-30,401,404,0.9925742574257426
1927972279,2016-03-31,493,520,0.948076923076923
1927972279,2016-04-01,369,383,0.9634464751958225
1927972279,2016-04-02,280,315,0.8888888888888888
1927972279,2016-04-03,107,111,0.963963963963964
1927972279,2016-04-04,465,483,0.9627329192546584
1927972279,2016-04-05,393,420,0.9357142857142857
1927972279,2016-04-06,414,429,0.965034965034965
1927972279,2016-04-09,39,47,0.8297872340425532
1927972279,2016-04-10,479,496,0.9657258064516129
1927972279,2016-04-11,496,525,0.9447619047619048
1927972279,2016-04-12,482,498,0.9678714859437751
2022484408,2016-03-13,135,144,0.9375
2026352035,2016-03-11,126,149,0.8456375838926175
2026352035,2016-03-12,540,572,0.9440559440559441
2026352035,2016-03-13,648,671,0.9657228017883756
2026352035,2016-03-14,510,538,0.9479553903345725
2026352035,2016-03-15,422,436,0.9678899082568807
2026352035,2016-03-16,144,163,0.8834355828220859
2026352035,2016-03-17,479,510,0.9392156862745098
2026352035,2016-03-18,575,611,0.9410801963993454
2026352035,2016-03-19,515,550,0.9363636363636364
2026352035,2016-03-20,545,588,0.9268707482993197
2026352035,2016-03-21,567,604,0.9387417218543046
2026352035,2016-03-22,520,545,0.9541284403669725
2026352035,2016-03-23,562,600,0.9366666666666666
2026352035,2016-03-24,531,567,0.9365079365079365
2026352035,2016-03-25,495,526,0.94106463878327
2026352035,2016-03-26,579,621,0.9323671497584541
2026352035,2016-03-27,545,581,0.9380378657487092
2026352035,2016-03-28,510,539,0.9461966604823747
2026352035,2016-03-29,482,521,0.9251439539347409
2026352035,2016-03-30,468,520,0.9
2026352035,2016-03-31,524,555,0.9441441441441442
2026352035,2016-04-01,514,544,0.9448529411764706
2026352035,2016-04-02,528,575,0.9182608695652174
2026352035,2016-04-03,534,605,0.8826446280991735
2026352035,2016-04-04,493,533,0.924953095684803
2026352035,2016-04-05,531,571,0.9299474605954466
2026352035,2016-04-06,465,517,0.8994197292069632
2026352035,2016-04-07,540,597,0.9045226130653267
2026352035,2016-04-08,521,548,0.9507299270072993
2026352035,2016-04-09,490,555,0.8828828828828829
2026352035,2016-04-10,504,556,0.9064748201438849
2026352035,2016-04-11,541,582,0.929553264604811
2026352035,2016-04-12,341,354,0.963276836158192
2347167796,2016-03-11,14,17,0.8235294117647058
2347167796,2016-03-12,474,499,0.9498997995991983
2347167796,2016-03-13,577,620,0.9306451612903226
2347167796,2016-03-14,432,468,0.9230769230769231
2347167796,2016-03-15,501,565,0.8867256637168142
2347167796,2016-03-16,446,475,0.9389473684210526
2347167796,2016-03-17,383,413,0.927360774818402
2347167796,2016-03-18,435,536,0.8115671641791045
2347167796,2016-03-19,250,261,0.9578544061302682
2347167796,2016-03-20,529,585,0.9042735042735043
2347167796,2016-03-21,452,484,0.9338842975206612
2347167796,2016-03-22,488,523,0.9330783938814532
2347167796,2016-03-23,449,493,0.9107505070993914
2347167796,2016-03-24,435,491,0.8859470468431772
2347167796,2016-03-25,313,350,0.8942857142857142
2347167796,2016-03-27,107,144,0.7430555555555556
2347167796,2016-03-28,516,560,0.9214285714285714
2347167796,2016-03-29,422,472,0.8940677966101694
2347167796,2016-03-30,472,514,0.9182879377431906
2347167796,2016-03-31,517,577,0.8960138648180243
2347167796,2016-04-01,374,391,0.9565217391304348
2347167796,2016-04-02,417,463,0.9006479481641468
